Year,Organization Group,Job Family,Job,Salaries,Overtime,Other Salaries,Total Salary
2007,"Public Works, Transportation & Commerce",Management,Dept Head IV,235744.19,0,0,235744.19
2017,Public Protection,Fire Services,"Battlion Chief, Fire Suppressi",179760.55,43093.14,12890.31,235744
2003,Public Protection,Fire Services,"Lieutenant, Fire Suppression",130961.08,86716.64,17997.69,235675.41
2003,Public Protection,Police Services,Sergeant 3,148285.34,70909.61,16461.44,235656.39
2014,Community Health,Medical & Dental,Senior Physician Specialist,235644.29,0,0,235644.29
2001,General Administration & Finance,Legal & Court,City Attorney,235536.32,0,0,235536.32
2009,Public Protection,Fire Services,"Lieutenant, Fire Suppression",134636.47,78935.66,21956.91,235529.04
2012,Public Protection,Fire Services,"Lieutenant, Fire Suppression",141587.93,74559.04,19360.06,235507.03
2005,Community Health,Nursing,Nursing Supervisor,198146.02,0,37304.8,235450.82
2014,Public Protection,Fire Services,"Lieutenant, Fire Suppression",130204.84,84985.08,20139.19,235329.11
1997,Public Protection,Fire Services,"Battlion Chief, Fire Suppressi",180166.81,33034.41,22063.7,235264.92
1992,Public Protection,Police Services,Police Officer 3,119783.83,89405.33,25999.07,235188.23
2004,Public Protection,Fire Services,EMT/Paramedic/Firefighter,129216.35,90443.97,15513.18,235173.5
2012,Community Health,Medical & Dental,Senior Physician Specialist,195086.35,0,40063,235149.35
1999,Public Protection,Police Services,Police Officer 3,129521.79,91224.28,14377.51,235123.58
2008,Public Protection,Fire Services,"Captain, Fire Suppression",151020.45,62905.59,21175.97,235102.01
2003,"Public Works, Transportation & Commerce",Management,Dept Head III,235090.36,0,0,235090.36
2011,Public Protection,Police Services,Inspector 3,161105.83,59049.78,14887.52,235043.13
1995,Community Health,Nursing,Nurse Manager,199357.04,0,35647.05,235004.09
2015,"Public Works, Transportation & Commerce",Administrative-Labor & Trades,Mech Shop & Equip Supt,120503.71,82570.4,31907.52,234981.63
2009,Community Health,Management,Manager VIII,234971.38,0,0,234971.38
2011,Public Protection,Correction & Detention,Senior Deputy Sheriff,116405.92,104690.23,13799.96,234896.11
1998,Public Protection,Fire Services,"Lieutenant, Fire Suppression",131473.77,87081.81,16297.87,234853.45
2006,Public Protection,Police Services,Sergeant 3,142005.5,49812.23,43030.52,234848.25
2017,Public Protection,Fire Services,EMT/Paramedic/Firefighter,130229.91,88084.79,16532.26,234846.96
2012,Public Protection,Fire Services,"Captain, Fire Suppression",149531.78,65914.44,19383.12,234829.34
2017,"Public Works, Transportation & Commerce",Management,Dep Dir V,234795.18,0,0,234795.18
2000,Public Protection,Fire Services,Firefighter,116099.48,96807.26,21775.9,234682.64
2016,Public Protection,Fire Services,"Captain, Fire Suppression",150320.75,56949.85,27405.29,234675.89
1992,Public Protection,Fire Services,"Battlion Chief, Fire Suppressi",177771.19,46099.92,10776.25,234647.36
2008,Community Health,Medical & Dental,Senior Physician Specialist,234622.13,0,0,234622.13
1994,General Administration & Finance,Legal & Court,"Cfdntal Chf Atty 2,(Cvl&Crmnl)",234599.31,0,0,234599.31
2012,Community Health,Nursing,Nursing Supervisor,218873.61,0,15691.72,234565.33
2008,Public Protection,Police Services,Captain 3,205981.2,0,28582.1,234563.3
2005,Public Protection,Fire Services,EMT/Paramedic/Firefighter,130229.92,88636.24,15667.46,234533.62
2004,Public Protection,Police Services,Lieutenant 3,166370.98,46659.43,21497.78,234528.19
2001,Public Protection,Fire Services,"Captain, Fire Suppression",149531.77,61282.11,23713.5,234527.38
2014,Community Health,Medical & Dental,Senior Physician Specialist,193940.25,0,40566.04,234506.29
2016,General Administration & Finance,Legal & Court,Assistant Chief Attorney 2,232107.32,0,2300.37,234407.69
2003,Public Protection,Police Services,Sergeant 3,137650.36,67503.15,29247.02,234400.53
2008,Public Protection,Fire Services,"Lieutenant, Fire Suppression",131473.75,83491.64,19411.37,234376.76
2011,"Public Works, Transportation & Commerce",Management,Dep Dir V,234366.46,0,0,234366.46
1993,Public Protection,Fire Services,"Lieutenant, Fire Suppression",131473.79,86714.38,16100.77,234288.94
2009,Community Health,Nursing,Nursing Supervisor,187469.35,0,46815.15,234284.5
2000,Community Health,Medical & Dental,Senior Physician Specialist,234277.03,0,0,234277.03
2002,Public Protection,Fire Services,Firefighter,114900.88,93547.92,25805.43,234254.23
2017,Public Protection,Fire Services,"Captain, Fire Suppression",151020.46,68762.56,14437.51,234220.53
1999,Public Protection,Fire Services,"Battlion Chief, Fire Suppressi",179464.21,32319.8,22433.04,234217.05
2007,Public Protection,Fire Services,Firefighter,113953.08,93019.3,27243,234215.38
2012,Public Protection,Probation & Parole,Deputy Probation Officer,234168.51,0,0,234168.51
2002,Community Health,Nursing,Anesthetist,219001.35,4800.62,10332.21,234134.18
2007,Public Protection,Fire Services,"Captain, Emergency Med Svcs",152597.06,62454.91,19074.56,234126.53
2006,Public Protection,Fire Services,EMT/Paramedic/Firefighter,134173.76,78316.86,21631.47,234122.09
1996,Public Protection,Fire Services,"Captain, Emergency Med Svcs",152851.07,61311.28,19951.4,234113.75
2000,Community Health,Medical & Dental,Senior Physician Specialist,220410.3,0,13680,234090.3
2008,Community Health,Medical & Dental,Senior Physician Specialist,188785.6,635.62,44667.94,234089.16
2008,Public Protection,Fire Services,EMT/Paramedic/Firefighter,130229.9,95055.78,8788.04,234073.72
1992,Public Protection,Fire Services,EMT/Paramedic/Firefighter,129951.49,87858.65,16243.91,234054.05
2010,Public Protection,Fire Services,Incident Support Specialist,123917.77,89686.08,20446.57,234050.42
1996,Community Health,Medical & Dental,Senior Physician Specialist,220410.31,0,13560,233970.31
2007,Public Protection,Fire Services,"Lieutenant, Fire Suppression",132267.12,80063.3,21628.67,233959.09
2002,Public Protection,Fire Services,EMT/Paramedic/Firefighter,137931.24,82381.25,13626.35,233938.84
2008,"Public Works, Transportation & Commerce",Journeyman Trade,Transit Power Line Worker,107101.16,112279.95,14420.98,233802.09
2002,Community Health,Nursing,Nursing Supervisor,209298.22,0,24477.55,233775.77
2015,Public Protection,Police Services,Sergeant 3,144993.98,67974.85,20804.43,233773.26
2003,Public Protection,Fire Services,EMT/Paramedic/Firefighter,134173.76,82791.67,16771.77,233737.2
2010,Public Protection,Police Services,Sergeant 3,141149.26,75080.89,17462.21,233692.36
2009,Public Protection,Fire Services,EMT/Paramedic/Firefighter,129001.31,87809.9,16831.44,233642.65
2003,"Public Works, Transportation & Commerce",Personnel,Senior Personnel Analyst,233625.3,0,0,233625.3
1995,Community Health,Nursing,Nurse Manager,205343.16,0,28261.48,233604.64
1995,Community Health,Medical & Dental,Supervising Physician Spec,228773.7,0,4815,233588.7
2013,Public Protection,Fire Services,Firefighter,112889.8,97680.19,23016.56,233586.55
1997,Public Protection,Fire Services,Marine Engineer Of Fire Boats,149778.65,61949.89,21788.37,233516.91
2004,Public Protection,Fire Services,"Lieutenant, Fire Suppression",134905.13,72398.48,26205.87,233509.48
2006,Community Health,Medical & Dental,Physician Assistant,202323.62,1467.6,29684.1,233475.32
2002,Public Protection,Fire Services,"Lieutenant, Fire Suppression",130961.05,86117.74,16370.3,233449.09
2009,Public Protection,Fire Services,"Captain, Fire Suppression",152942.27,56582.51,23918.25,233443.03
1997,Public Protection,Correction & Detention,Deputy Sheriff,92423.61,122360.01,18594.94,233378.56
1998,Public Protection,Fire Services,"Captain, Emergency Med Svcs",148005.23,72130.35,13238.44,233374.02
2003,Public Protection,Fire Services,EMT/Paramedic/Firefighter,130229.92,86158.47,16977.26,233365.65
1996,Community Health,Nursing,Anesthetist,216650.46,6781.55,9916.68,233348.69
2008,Public Protection,Fire Services,EMT/Paramedic/Firefighter,134173.77,82291.13,16771.77,233236.67
1992,General Administration & Finance,Management,Dep Dir IV,233222.62,0,0,233222.62
1998,Public Protection,Police Services,Lieutenant 3,159292.59,47676.4,26172.23,233141.22
1996,Public Protection,Fire Services,"Lieutenant, Fire Suppression",130960.99,85767.14,16370.34,233098.47
2001,Public Protection,Fire Services,Firefighter,112889.82,99420.47,20774.61,233084.9
2001,Public Protection,Fire Services,"Lieutenant, Fire Suppression",131177.22,84744.17,17147.86,233069.25
2008,Community Health,Nursing,Nursing Supervisor,196172.44,0,36871.63,233044.07
2013,Community Health,Medical & Dental,Supervising Physician Spec,233013.4,0,0,233013.4
2003,Public Protection,Professional Engineering,Fire Protection Engineer,146952,86051.7,0,233003.7
2009,Public Protection,Fire Services,Marine Engineer Of Fire Boats,58413.61,45803.1,128674.13,232890.84
2004,Community Health,Nursing,Anesthetist,212578.16,11545.96,8728.32,232852.44
1994,Public Protection,Fire Services,EMT/Paramedic/Firefighter,130229.9,86287.52,16278.71,232796.13
2005,Public Protection,Police Services,Inspector 3,118810.66,22118.66,91852.19,232781.51
1995,Public Protection,Police Services,Commander 3,222202.26,0,10571.03,232773.29
2005,Public Protection,Police Services,Sergeant 3,138579.07,51460.17,42695.64,232734.88
2000,Public Protection,Police Services,Sergeant 3,140792.5,44697.38,47199.52,232689.4
1999,Public Protection,Police Services,Sergeant 3,144788.45,60353.08,27546,232687.53
2010,Community Health,Medical & Dental,Senior Physician Specialist,220410.3,0,12270.52,232680.82
1993,General Administration & Finance,Management,Dep Dir V,232634.16,0,0,232634.16
2008,Public Protection,Correction & Detention,Deputy Sheriff,104621,112438,15552.45,232611.45
2011,Public Protection,Fire Services,EMT/Paramedic/Firefighter,130444.93,85709.93,16433.98,232588.84
2006,Public Protection,Fire Services,EMT/Paramedic/Firefighter,130229.89,85702.21,16639.74,232571.84
1993,Public Protection,Fire Services,"Insp, Fire Dept",135118.51,85951,11501.13,232570.64
2014,Community Health,Management,Manager VIII,232554.01,0,0,232554.01
2001,Public Protection,Correction & Detention,Sheriff (SFERS),219366.51,0,13161.97,232528.48
1994,Public Protection,Fire Services,EMT/Paramedic/Firefighter,130444.91,85676.12,16399.49,232520.52
1992,Public Protection,Fire Services,EMT/Paramedic/Firefighter,131535.67,77851.52,23119.74,232506.93
1998,Public Protection,Police Services,Police Officer 3,127574.59,99030.69,5893.3,232498.58
1998,Public Protection,Fire Services,EMT/Paramedic/Firefighter,128578.99,96200.17,7714.77,232493.93
2011,Community Health,Nursing,Nursing Supervisor Psychiatric,196172.4,0,36274.84,232447.24
2015,Public Protection,Fire Services,EMT/Paramedic/Firefighter,130229.9,86698.27,15458.58,232386.75
1996,Public Protection,Fire Services,Firefighter,114900.88,96099.93,21373.02,232373.83
2015,Public Protection,Fire Services,"Lieutenant, Fire Suppression",132412.71,79125.26,20736.95,232274.92
2013,Public Protection,Fire Services,"Captain, Fire Suppression",154050.4,51515.36,26698.65,232264.41
2000,Public Protection,Correction & Detention,Deputy Sheriff,103283.06,113914.22,15040.66,232237.94
2000,Public Protection,Fire Services,"Captain, Fire Suppression",151020.46,41880.47,39331.92,232232.85
2001,Public Protection,Police Services,Sergeant 3,140365,52812.76,39012.64,232190.4
2015,Public Protection,Police Services,Captain 3,110304.07,0,121858.48,232162.55
1992,Public Protection,Police Services,Police Officer 3,128241.19,97647.33,6266.46,232154.98
2015,Community Health,Nursing,Nurse Manager,196701.4,0,35420,232121.4
1992,Public Protection,Fire Services,"Captain, Fire Suppression",149531.79,60906.14,21556.38,231994.31
1993,Public Protection,Fire Services,"Captain, Fire Suppression",154050.44,55504.86,22412.97,231968.27
2011,Culture & Recreation,Management,Dept Head IV,231966.28,0,0,231966.28
2007,Public Protection,Fire Services,EMT/Paramedic/Firefighter,130444.94,85201.87,16305.63,231952.44
1992,Public Protection,Correction & Detention,Deputy Sheriff,96318.91,109713.58,25900.4,231932.89
2016,Community Health,Medical & Dental,Senior Physician Specialist,201628.61,0,30244.33,231872.94
2012,Public Protection,Fire Services,EMT/Paramedic/Firefighter,130229.84,93036.6,8602.04,231868.48
2015,Community Health,Nursing,Nursing Supervisor,203685.45,0,28159.35,231844.8
1994,"Public Works, Transportation & Commerce",Street Transit,Transit Operations Specialist,100868,115264.73,15683.29,231816.02
2016,Public Protection,Police Services,Police Officer 3,121214.2,56532.57,54017.85,231764.62
2010,Community Health,Medical & Dental,Supervising Physician Spec,201531.51,0,30229.76,231761.27
2017,Public Protection,Fire Services,EMT/Paramedic/Firefighter,128961.43,87279.1,15506.9,231747.43
1992,"Public Works, Transportation & Commerce",Supervisory-Labor & Trade,Track Maint Wrk Sprv 1,96701,119247.33,15792.89,231741.22
2015,Public Protection,Police Services,Sergeant 3,138579.12,68161.26,24989.14,231729.52
2013,"Public Works, Transportation & Commerce",Management,Dept Head III,231699.4,0,0,231699.4
2011,Public Protection,Fire Services,"Captain, Fire Suppression",165361.31,36104,30140.87,231606.18
1999,Community Health,Medical & Dental,Senior Physician Specialist,220571.14,0,11028.56,231599.7
1995,Public Protection,Police Services,Sergeant 3,142021.27,71359.22,18217.68,231598.17
2002,Public Protection,Management,Manager VIII,231566.79,0,0,231566.79
2009,Public Protection,Correction & Detention,Sheriff's Lieutenant,151824.13,57516.29,22225.71,231566.13
1993,Public Protection,Fire Services,Incident Support Specialist,122232.88,90345.42,18970.5,231548.8
2000,Community Health,Medical & Dental,Senior Physician Specialist,220191.49,0,11343.26,231534.75
1999,Public Protection,Police Services,Lieutenant 2,159380.03,55735.14,16391.7,231506.87
2011,Public Protection,Fire Services,"Captain, Fire Suppression",146710.42,61152.27,23643.93,231506.62
1999,Community Health,Medical & Dental,Senior Physician Specialist,219190.7,0,12309.54,231500.24
2005,Public Protection,Police Services,Inspector 3,140501.69,51487.34,39507.59,231496.62
2009,Community Health,Medical & Dental,Senior Physician Specialist,227242.51,0,4232.14,231474.65
1999,Public Protection,Fire Services,Firefighter,129665.08,93323.47,8449.68,231438.23
2002,Public Protection,Police Services,Sergeant 3,142336.67,59755.25,29342.07,231433.99
2004,Community Health,Medical & Dental,Supervising Physician Spec,214806.72,0,16620,231426.72
2011,Public Protection,Fire Services,Asst Chf Of Dept (Fire Dept),201566.88,0,29853.48,231420.36
1992,Community Health,Medical & Dental,Physician Specialist,227825.81,0,3555,231380.81
2008,Community Health,Medical & Dental,Senior Physician Specialist,189240.2,0,42066.2,231306.4
1993,Public Protection,Fire Services,"Lieutenant, Fire Suppression",129147.6,85811.09,16330.96,231289.65
1993,Public Protection,Fire Services,Firefighter,116293.84,94863.62,20076.74,231234.2
1996,Public Protection,Fire Services,"Captain, Emergency Med Svcs",154050.47,58652.08,18500.5,231203.05
2001,Public Protection,Correction & Detention,Sheriff's Lieutenant,133474.41,65310.32,32336.13,231120.86
1992,General Administration & Finance,"Lab, Pharmacy & Med Techs",Forensic Toxicologist,207321.23,0,23695.59,231016.82
2000,Public Protection,Correction & Detention,Sheriff's Sergeant,126637.22,69627.33,34750.12,231014.67
2016,Public Protection,Fire Services,EMT/Paramedic/Firefighter,131535.73,83000.91,16441.92,230978.56
1997,Public Protection,Fire Services,"Battlion Chief, Fire Suppressi",202029.4,6933.09,21994.85,230957.34
